block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
12,vector0,NA,NA,NA,NA,NA,NA,20.899445,37619,0.000000,0.000000,0.000000,0.000000,0.000000,0.427869,0.000452,0.351232,
13,vector0,NA,NA,NA,NA,NA,NA,20.054445,36098,0.000000,0.000000,0.000000,0.000000,0.000000,0.433043,0.000471,0.357693,
14,vector0,NA,NA,NA,NA,NA,NA,20.347221,36625,0.000000,0.000000,0.000000,0.000000,0.000000,0.414962,0.000519,0.343126,
15,vector0,NA,NA,NA,NA,NA,NA,20.076111,36137,0.000000,0.000000,0.000000,0.000000,0.000000,0.408778,0.000526,0.340869,
16,vector0,NA,NA,NA,NA,NA,NA,21.251112,38252,0.000000,0.000000,0.000000,0.000000,0.000000,0.424135,0.000497,0.314467,
17,vector0,NA,NA,NA,NA,NA,NA,21.448889,38608,0.000000,0.000000,0.000000,0.000000,0.000000,0.405900,0.000492,0.330760,
18,vector0,NA,NA,NA,NA,NA,NA,20.271111,36488,0.000000,0.000000,0.000000,0.000000,0.000000,0.413999,0.000548,0.306292,
19,vector0,NA,NA,NA,NA,NA,NA,20.718334,37293,0.000000,0.000000,0.000000,0.000000,0.000000,0.419328,0.000483,0.381761,
20,vector0,NA,NA,NA,NA,NA,NA,20.768888,37384,0.000000,0.000000,0.000000,0.000000,0.000000,0.435962,0.000455,0.317863,
21,vector0,NA,NA,NA,NA,NA,NA,20.639444,37151,0.000000,0.000000,0.000000,0.000000,0.000000,0.423326,0.000458,0.358052,
22,vector0,NA,NA,NA,NA,NA,NA,20.318333,36573,0.000000,0.000000,0.000000,0.000000,0.000000,0.419572,0.000520,0.333853,
23,vector0,NA,NA,NA,NA,NA,NA,20.811111,37460,0.000000,0.000000,0.000000,0.000000,0.000000,0.421596,0.000454,0.345248,
24,vector0,NA,NA,NA,NA,NA,NA,21.655556,38980,0.000000,0.000000,0.000000,0.000000,0.000000,0.392406,0.000487,0.295228,
25,vector0,NA,NA,NA,NA,NA,NA,21.528889,38752,0.000000,0.000000,0.000000,0.000000,0.000000,0.411308,0.000439,0.341866,
26,vector0,NA,NA,NA,NA,NA,NA,21.965555,39538,0.000000,0.000000,0.000000,0.000000,0.000000,0.384238,0.000481,0.327078,
27,vector0,NA,NA,NA,NA,NA,NA,21.645555,38962,0.000000,0.000000,0.000000,0.000000,0.000000,0.405421,0.000436,0.313716,
28,vector0,NA,NA,NA,NA,NA,NA,21.416666,38550,0.000000,0.000000,0.000000,0.000000,0.000000,0.423217,0.000441,0.292425,
29,vector0,NA,NA,NA,NA,NA,NA,22.011667,39621,0.000000,0.000000,0.000000,0.000000,0.000000,0.395775,0.000429,0.318291,
30,vector0,NA,NA,NA,NA,NA,NA,19.703333,35466,0.000000,0.000000,0.000000,0.000000,0.000000,0.391755,0.000479,0.389697,
31,vector0,NA,NA,NA,NA,NA,NA,21.543888,38779,0.000000,0.000000,0.000000,0.000000,0.000000,0.401893,0.000438,0.325279,
32,vector0,NA,NA,NA,NA,NA,NA,22.408890,40336,0.000000,0.000000,0.000000,0.000000,0.000000,0.377355,0.000421,0.312326,
33,vector0,NA,NA,NA,NA,NA,NA,22.086111,39755,0.000000,0.000000,0.000000,0.000000,0.000000,0.372154,0.000428,0.323833,
34,vector0,NA,NA,NA,NA,NA,NA,22.044445,39680,0.000000,0.000000,0.000000,0.000000,0.000000,0.376764,0.000428,0.329914,
35,vector0,NA,NA,NA,NA,NA,NA,23.067223,41521,0.000000,0.000000,0.000000,0.000000,0.000000,0.392380,0.000458,0.298355,
36,vector0,NA,NA,NA,NA,NA,NA,22.768888,40984,0.000000,0.000000,0.000000,0.000000,0.000000,0.407427,0.000415,0.302557,
37,vector0,NA,NA,NA,NA,NA,NA,22.457222,40423,0.000000,0.000000,0.000000,0.000000,0.000000,0.379091,0.000470,0.314747,
38,vector0,NA,NA,NA,NA,NA,NA,21.967777,39542,0.000000,0.000000,0.000000,0.000000,0.000000,0.389105,0.000430,0.319635,
39,vector0,NA,NA,NA,NA,NA,NA,10.720555,19297,0.000000,0.000000,0.000000,0.000000,0.000000,0.336633,0.000881,0.246981,
