block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.577778,38840,26,418,4,839,5,826,5.855856,0.537634,1.652502,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.333334,40200,26,418,4,834,4,833,5.855856,0.477612,1.604530,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.726667,37308,26,418,4,833,5,832,5.855856,0.537634,1.652502,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.313889,38365,28,416,5,832,4,834,6.306306,0.537313,1.746107,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.429445,38573,26,418,4,834,6,831,5.855856,0.597015,1.698915,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.422777,42161,26,418,6,830,2,836,5.855856,0.477897,1.605288,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.699444,40859,26,418,4,835,6,830,5.855856,0.597015,1.698915,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.026112,41447,26,418,5,828,4,837,5.855856,0.537634,1.652502,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.653889,38977,27,417,4,837,5,828,6.081081,0.537634,1.699717,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.609444,40697,27,417,5,835,3,832,6.081081,0.477612,1.651723,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.108889,39796,26,418,3,832,6,833,5.855856,0.537634,1.652502,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.473333,42252,26,418,5,836,4,830,5.855856,0.537313,1.651723,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.535555,38764,26,418,4,830,5,836,5.855856,0.537313,1.651723,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.379999,42084,27,417,6,835,3,830,6.081081,0.537634,1.699717,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.408890,40336,27,417,3,830,7,835,6.081081,0.597015,1.746107,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.586111,19055,10,162,4,324,3,318,5.813953,1.078582,2.070646,
