block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.375000,42075,0.064742,0.000000,0.000000,0.000000,0.050101,0.014617,114272,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.825001,35685,0.076335,0.000000,0.000000,0.000000,0.059072,0.017234,114272,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.157223,36283,0.075076,0.000000,0.000000,0.000000,0.058099,0.016950,114272,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.959444,39527,0.068915,0.000000,0.000000,0.000000,0.053331,0.015559,114272,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.216110,38189,0.071329,0.000000,0.000000,0.000000,0.055199,0.016104,114272,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.235001,38223,0.071266,0.000000,0.000000,0.000000,0.055150,0.016090,114272,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.577223,37039,0.073544,0.000000,0.000000,0.000000,0.056913,0.016604,114272,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.443890,36799,0.074024,0.000000,0.000000,0.000000,0.057284,0.016712,114272,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.578888,35242,0.077294,0.000000,0.000000,0.000000,0.059815,0.017451,114272,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.084999,37953,0.071773,0.000000,0.000000,0.000000,0.055542,0.016204,114272,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.138334,36249,0.075147,0.000000,0.000000,0.000000,0.058153,0.016966,114272,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.287777,38318,0.071089,0.000000,0.000000,0.000000,0.055013,0.016050,114272,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.038889,39670,0.068666,0.000000,0.000000,0.000000,0.053138,0.015503,114272,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.309444,38357,0.071017,0.000000,0.000000,0.000000,0.054957,0.016034,114272,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.796112,39233,0.069431,0.000000,0.000000,0.000000,0.053730,0.015676,114272,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.215555,38188,0.071331,0.000000,0.000000,0.000000,0.055201,0.016105,114272,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.071112,37928,0.071820,0.000000,0.000000,0.000000,0.055579,0.016215,114272,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.770000,37386,0.072862,0.000000,0.000000,0.000000,0.056385,0.016450,114272,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.365000,36657,0.074310,0.000000,0.000000,0.000000,0.057506,0.016777,114272,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.893333,39408,0.069123,0.000000,0.000000,0.000000,0.053492,0.015606,114272,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.459999,40428,0.067379,0.000000,0.000000,0.000000,0.052142,0.015212,114272,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.719444,39095,0.069676,0.000000,0.000000,0.000000,0.053920,0.015731,114272,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.825556,41086,0.066300,0.000000,0.000000,0.000000,0.051307,0.014969,114272,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.889999,41202,0.066113,0.000000,0.000000,0.000000,0.051163,0.014926,114272,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.583889,40651,0.067009,0.000000,0.000000,0.000000,0.051856,0.015129,114272,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.959999,41328,0.065912,0.000000,0.000000,0.000000,0.051007,0.014881,114272,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.304444,18548,0.058012,0.000000,0.000000,0.000000,0.044264,0.013694,44128,
